Member_number,Groceries
1960,"chicken,pastry,rolls/buns,yogurt"
1961,"brown bread,citrus fruit,dish cleaner,frozen vegetables,other vegetables,rolls/buns,sugar,tropical fruit,yogurt"
1962,"citrus fruit,frozen meals,hygiene articles,other vegetables,pork,rolls/buns,sausage,soda,tropical fruit"
1963,"citrus fruit,yogurt"
1964,"brown bread,domestic eggs,hard cheese,hygiene articles,other vegetables,pickled vegetables,pip fruit,shopping bags,soda,tropical fruit"
1965,"chewing gum,hamburger meat,other vegetables,yogurt"
1966,"bottled water,canned beer,cream cheese ,frozen vegetables,grapes,hard cheese,meat spreads,other vegetables,rolls/buns,specialty cheese,vinegar,white bread,whole milk,yogurt"
1967,"brown bread,dental care,frankfurter,fruit/vegetable juice,grapes,hard cheese,onions,other vegetables,sausage,seasonal products,soda,waffles,whole milk"
1968,"citrus fruit,frozen meals,hard cheese,margarine,newspapers,pastry,rolls/buns,tropical fruit,whole milk,zwieback"
1969,"bottled beer,cat food,citrus fruit,frozen vegetables,fruit/vegetable juice,jam,other vegetables,pork,rolls/buns,sausage,waffles"
1970,"brown bread,citrus fruit,curd,ham,pastry,soda,whipped/sour cream,white bread,whole milk"
1971,"bottled water,curd,dessert,frozen meals,fruit/vegetable juice,sausage,white wine"
1972,"bottled beer,fruit/vegetable juice,pasta,pork,whipped/sour cream"
1973,"beef,specialty chocolate"
1974,"brown bread,fish,frozen meals,packaged fruit/vegetables,specialty chocolate"
1975,"rolls/buns,root vegetables,soups,yogurt"
1976,"bottled water,other vegetables,root vegetables"
1977,"beef,canned beer,whole milk"
1978,"beef,brown bread,cookware,turkey,yogurt"
1979,"beef,bottled water,brown bread,butter milk,detergent,frozen meals,frozen vegetables,herbs,pastry,pork,root vegetables,salty snack,white bread,whole milk,yogurt"
1980,"berries,bottled water,brown bread,chocolate marshmallow,citrus fruit,domestic eggs,flour,frozen vegetables,salty snack,white bread"
1981,"chicken,fruit/vegetable juice,specialty chocolate,whole milk"
1982,"butter,chocolate,coffee,frozen fruits,liqueur,tropical fruit"
1983,"bathroom cleaner,berries,hamburger meat,ice cream,margarine,pastry,pip fruit,processed cheese,rolls/buns,sausage,soda,white wine,whole milk"
1985,"bottled water,butter milk,dessert,rolls/buns,sausage,whole milk"
1987,"chocolate,citrus fruit,domestic eggs,fruit/vegetable juice,long life bakery product,napkins,pork,rolls/buns,yogurt"
1988,"bottled beer,bottled water,curd,grapes,other vegetables,whipped/sour cream"
1989,"mustard,soda"
1990,"citrus fruit,flower (seeds),rolls/buns,tropical fruit,whole milk,yogurt"
1991,"bottled beer,butter,chicken,citrus fruit,coffee,flour,frozen fish,fruit/vegetable juice,long life bakery product,newspapers,nuts/prunes,other vegetables,pork,sausage,soap,soda,specialty bar,tropical fruit,white wine,yogurt"
1992,"beef,other vegetables,pastry,rolls/buns,seasonal products,white bread"
1993,"chicken,curd,pet care,pip fruit,rolls/buns,root vegetables,tropical fruit,waffles"
1994,"bottled beer,canned beer,chocolate,coffee,fruit/vegetable juice,pip fruit,soda,waffles,whole milk,yogurt"
1995,"brown bread,frozen dessert,frozen meals,fruit/vegetable juice,margarine,other vegetables,pet care,rolls/buns,root vegetables,shopping bags,soda,soft cheese,white bread,yogurt"
1996,"canned beer,domestic eggs,flower (seeds),roll products ,rolls/buns,root vegetables,soda,whipped/sour cream,yogurt"
1997,"berries,beverages,bottled beer,bottled water,brown bread,canned beer,citrus fruit,cleaner,frankfurter,ham,newspapers,pastry,pickled vegetables,pip fruit,processed cheese,shopping bags,soda,white bread"
1998,"candles,canned beer,canned vegetables,chewing gum,citrus fruit,dishes,frankfurter,frozen vegetables,ice cream,misc. beverages,pastry,pip fruit,pork,pot plants,rolls/buns,root vegetables,sauces,waffles,whipped/sour cream,whole milk"
1999,"brown bread,butter,coffee,cream cheese ,dog food,frozen vegetables,hygiene articles,ice cream,misc. beverages,popcorn,rolls/buns,shopping bags,soft cheese,tropical fruit,white wine"
2000,"bottled beer,dish cleaner,fruit/vegetable juice,hamburger meat,rolls/buns,sparkling wine"
2001,"beef,bottled water,butter,butter milk,cereals,chocolate,citrus fruit,napkins,other vegetables,processed cheese,rolls/buns,root vegetables,shopping bags,spices,whole milk,yogurt"
2002,"beverages,frozen vegetables,meat,onions,pork,rolls/buns,root vegetables"
2003,"baking powder,brown bread,frozen dessert,liquor,other vegetables,sausage"
2004,"beef,beverages,butter,cream cheese ,grapes,hamburger meat,mustard,other vegetables,pastry,pip fruit,tropical fruit,yogurt"
2005,"bottled beer,brown bread,cat food,dessert,jam,male cosmetics,mustard,pork,rolls/buns,soda,yogurt"
2006,"coffee,frankfurter,frozen potato products,pot plants"
2007,"brown bread,cream cheese ,dessert,photo/film,whole milk"
2008,"domestic eggs,mayonnaise,root vegetables,soda,whole milk"
2009,"pastry,pork,prosecco,rolls/buns,soda,tropical fruit"
2010,"bottled water,other vegetables,root vegetables,shopping bags,soda,specialty bar,waffles,whole milk,yogurt"
2011,"UHT-milk,beverages,candles,frankfurter,fruit/vegetable juice,liquor,mayonnaise,onions,other vegetables,pip fruit,rolls/buns,shopping bags,soda,whipped/sour cream,yogurt"
2012,"bottled water,butter milk,cling film/bags,rolls/buns"
2013,"UHT-milk,domestic eggs,onions,other vegetables,packaged fruit/vegetables,rolls/buns,yogurt"
2014,"bottled water,brown bread,cake bar,coffee,dessert,frozen vegetables,ice cream,oil,other vegetables,pip fruit,soft cheese,syrup,white bread,whole milk,yogurt"
2015,"pork,rum,soda,tropical fruit"
2016,"berries,pip fruit,sugar,whipped/sour cream"
2017,"UHT-milk,bottled beer,bottled water,chicken,chocolate,coffee,dog food,nuts/prunes,pip fruit,root vegetables,seasonal products,tropical fruit,waffles,whipped/sour cream,white wine,whole milk"
2018,"bottled beer,canned beer,chicken,chocolate,coffee,curd,frozen meals,frozen potato products,rolls/buns,soda,tropical fruit,waffles"
2019,"brown bread,candles,candy,citrus fruit,flour,frankfurter,frozen meals,fruit/vegetable juice,other vegetables,salty snack,sausage,tropical fruit,waffles,whipped/sour cream,white bread"
2020,"beef,fruit/vegetable juice,hamburger meat,hygiene articles,pastry,rolls/buns,sausage,sliced cheese,yogurt"
2021,"meat,whole milk"
2022,"UHT-milk,beef,candy,cat food,curd cheese,frankfurter,fruit/vegetable juice,hard cheese,herbs,long life bakery product,newspapers,other vegetables,pork,rolls/buns,sausage,soft cheese,sugar,white wine,whole milk,yogurt"
2023,"bottled beer,citrus fruit,hard cheese,other vegetables,roll products ,spread cheese,tropical fruit"
2024,"canned beer,dessert,margarine,yogurt"
2025,"bottled beer,brown bread,cake bar,cat food,coffee,hamburger meat,pastry,whole milk"
2026,"margarine,misc. beverages,napkins,other vegetables"
2027,"cling film/bags,domestic eggs,frozen meals,rolls/buns"
2028,"bottled beer,canned beer,coffee,dessert,flower (seeds),frozen vegetables,ham,meat,root vegetables,salt,shopping bags,specialty bar"
2029,"beef,bottled water,cake bar,dish cleaner,frankfurter,ice cream,other vegetables,rolls/buns,sugar,whole milk,yogurt"
2030,"berries,newspapers,salty snack,shopping bags,soap,soda"
2031,"artif. sweetener,bottled water,detergent,dog food,frankfurter,grapes,ham,misc. beverages,napkins,other vegetables,rolls/buns,sausage,whole milk"
2032,"dessert,meat spreads,pork,soda,tropical fruit,whipped/sour cream,whole milk"
2033,"beef,berries,canned beer,hamburger meat,herbs,meat spreads,pot plants,processed cheese,sweet spreads,whole milk,yogurt"
2034,"UHT-milk,butter milk,frankfurter,meat,rolls/buns,shopping bags"
2035,"beef,frozen vegetables,ice cream,jam,other vegetables,prosecco,rice,sausage,waffles,white bread,whole milk"
2036,"ice cream,onions,soda,whipped/sour cream,whole milk"
2037,"beef,citrus fruit,curd,domestic eggs,grapes,napkins,organic sausage,pastry"
2038,"beef,pastry,pip fruit,rolls/buns,sauces,soda,whole milk"
2039,"bottled beer,oil,sparkling wine"
2040,"beverages,candy,canned beer,chicken,chocolate,ham,hard cheese,newspapers,oil,packaged fruit/vegetables,popcorn,rolls/buns,sugar,tropical fruit,white bread"
2041,"condensed milk,dessert,detergent,grapes,liquor (appetizer),long life bakery product,margarine,rolls/buns,root vegetables,soda,yogurt,zwieback"
2042,"brown bread,cream cheese ,curd,hygiene articles,meat,newspapers,other vegetables,pasta,pip fruit,pork,root vegetables,shopping bags,tropical fruit,yogurt"
2043,"UHT-milk,bottled water,brown bread,curd,fruit/vegetable juice,long life bakery product,other vegetables,pastry,rolls/buns,shopping bags,tropical fruit,waffles"
2044,"butter,domestic eggs,meat,pastry,pip fruit,semi-finished bread,shopping bags,whole milk,yogurt"
2045,"brandy,frozen vegetables,grapes,other vegetables,pickled vegetables,pork,soda,soft cheese,sweet spreads,tropical fruit,whole milk,yogurt"
2046,"bottled water,dessert,pork,tea"
2047,"bottled water,canned beer,cat food,frozen vegetables,meat,newspapers,pip fruit,sausage,semi-finished bread,soda,tropical fruit,waffles"
2048,"berries,frozen vegetables,fruit/vegetable juice,hamburger meat,other vegetables,pip fruit,pork,rolls/buns,root vegetables,semi-finished bread,sugar,whole milk"
2049,"dessert,grapes,ham,other vegetables,pork,tropical fruit,whole milk"
2050,"UHT-milk,other vegetables,rolls/buns,whipped/sour cream"
2051,"beef,beverages,brown bread,canned beer,cocoa drinks,coffee,cream cheese ,domestic eggs,flour,frankfurter,fruit/vegetable juice,hygiene articles,ice cream,long life bakery product,meat,newspapers,other vegetables,photo/film,pip fruit,pork,prosecco,rolls/buns,root vegetables,soda,whipped/sour cream,whole milk"
2053,"cereals,citrus fruit,cream cheese ,other vegetables,rolls/buns,soda,yogurt"
2054,"butter,chewing gum,citrus fruit,liquor (appetizer),margarine,roll products ,shopping bags,soda,white bread,whole milk,yogurt"
2055,"beverages,brown bread,chicken,domestic eggs,newspapers,other vegetables,photo/film,pip fruit,rolls/buns,sausage,soda,sugar,yogurt"
2056,"beef,bottled water,canned vegetables,citrus fruit,condensed milk,curd,flower soil/fertilizer,hard cheese,margarine,newspapers,pastry,potato products,processed cheese,root vegetables,soda,whole milk"
2057,"UHT-milk,citrus fruit,shopping bags,soda,tropical fruit"
2058,"chocolate marshmallow,domestic eggs,frozen vegetables,fruit/vegetable juice,hygiene articles,other vegetables,pip fruit,red/blush wine,rolls/buns,soda,yogurt"
2059,"curd,domestic eggs,ham,long life bakery product,napkins,sausage,tropical fruit,whole milk,yogurt"
2060,"brown bread,pip fruit,salty snack,soups,specialty fat"
2061,"beef,flower (seeds),long life bakery product,misc. beverages,sausage,soda,sparkling wine,tropical fruit,whole milk"
2062,"bottled beer,domestic eggs,misc. beverages,onions,pork,shopping bags,whole milk"
2063,"brandy,cream cheese ,frankfurter,herbs,newspapers,onions,other vegetables,pastry,root vegetables,sausage,sliced cheese,soups,sugar"
2064,"brown bread,hard cheese,ice cream,oil,pork,rolls/buns,salad dressing,whole milk"
2065,"coffee,other vegetables,pastry,pip fruit,sausage,soda,specialty bar,sugar,waffles,whipped/sour cream,white bread"
2066,"flour,frozen vegetables,hard cheese,pasta,pastry,pickled vegetables,pip fruit,specialty chocolate,whole milk,yogurt,zwieback"
2067,"beverages,bottled water,brown bread,canned beer,jam,meat,root vegetables,yogurt"
2068,"cleaner,coffee,female sanitary products,frankfurter,rolls/buns,sauces,sausage,specialty vegetables,whole milk,yogurt"
2069,"canned fish,chicken,citrus fruit,fruit/vegetable juice,napkins,newspapers,pork,root vegetables,specialty chocolate,sugar"
2070,"baby cosmetics,bottled water,cake bar,candy,citrus fruit,domestic eggs,frankfurter,frozen dessert,ice cream,napkins,oil,other vegetables,pip fruit,pot plants,root vegetables,sausage,skin care,soda,spread cheese,yogurt"
2071,"Instant food products,beef,butter,canned beer,citrus fruit,jam,pip fruit,specialty bar,whole milk"
2072,"chewing gum,chocolate,frankfurter,margarine,newspapers,other vegetables,pip fruit,processed cheese,root vegetables,salty snack,yogurt"
2073,"canned fish,chocolate,domestic eggs,frankfurter,herbs,rolls/buns,sausage,tropical fruit,whole milk"
2074,"UHT-milk,bottled water,candy,canned beer,chicken,chocolate,citrus fruit,dish cleaner,oil,other vegetables,waffles"
2075,"baking powder,citrus fruit,rolls/buns,root vegetables,sausage,soda"
2076,"bottled beer,frankfurter,hygiene articles,margarine,rolls/buns,salty snack,softener,whole milk"
2077,"beef,bottled water,butter,chicken,citrus fruit,coffee,hard cheese,male cosmetics,roll products ,rolls/buns,rum,soft cheese,specialty bar,whole milk"
2078,"cream cheese ,newspapers,pork,shopping bags,soda,tropical fruit"
2079,"beverages,curd,domestic eggs,napkins,other vegetables,pet care,shopping bags,sliced cheese,soda,tropical fruit,turkey,whole milk"
2080,"canned beer,long life bakery product,specialty vegetables,tropical fruit,whole milk"
2081,"UHT-milk,butter milk,citrus fruit,frankfurter,hamburger meat,seasonal products,spices,tropical fruit,whole milk"
2082,"UHT-milk,bottled water,brown bread,butter,domestic eggs,frankfurter,fruit/vegetable juice,other vegetables,pastry,rolls/buns"
2083,"bottled water,brandy,brown bread,coffee,grapes,ice cream,other vegetables,sausage,sweet spreads,tropical fruit,whole milk"
2084,"beverages,cat food,root vegetables"
2085,"beef,candy,domestic eggs,pip fruit,soda"
2086,"bottled beer,bottled water,butter,chicken,detergent,frankfurter,frozen vegetables,liquor,meat,misc. beverages,napkins,other vegetables,pastry,root vegetables,salt,soda,sparkling wine,whole milk"
2087,"brown bread,citrus fruit,dog food,other vegetables,pastry,pickled vegetables,seasonal products,tropical fruit,whole milk"
2088,"dishes,newspapers,pastry,root vegetables,yogurt"
2089,"UHT-milk,bottled beer,brown bread,canned beer,cream cheese ,curd,grapes,hard cheese,margarine,other vegetables,pasta,pastry,soda,whole milk"
2091,"brown bread,candy,canned beer,citrus fruit,dish cleaner,ice cream,onions,pastry,pet care,photo/film,vinegar"
2092,"beverages,bottled water,brown bread,canned fish,margarine,newspapers,pasta,pip fruit,rolls/buns,root vegetables,rum,salty snack,sausage,tropical fruit"
2093,"bottled beer,candy,canned vegetables,frozen potato products,napkins,oil,other vegetables,pastry,rolls/buns,specialty bar,tropical fruit,waffles,whipped/sour cream,whole milk"
2094,"bottled water,coffee,other vegetables,shopping bags,whole milk"
2095,"beverages,frozen meals,other vegetables,pip fruit,rolls/buns,whole milk"
2096,"sausage,soda"
2097,"chicken,dog food,domestic eggs,newspapers,processed cheese,rolls/buns,shopping bags,white wine,yogurt"
2098,"canned beer,flour,fruit/vegetable juice,misc. beverages,pastry,rolls/buns,tropical fruit"
2100,"butter,chocolate,citrus fruit,coffee,condensed milk,dessert,dishes,frankfurter,ice cream,other vegetables,specialty cheese,tropical fruit,whole milk,yogurt"
2101,"UHT-milk,canned beer,chocolate,citrus fruit,domestic eggs,frozen vegetables,onions,root vegetables,sausage"
2102,"beef,butter,fruit/vegetable juice,other vegetables,pet care,rolls/buns,root vegetables,soda,vinegar,yogurt"
2103,"dessert,frozen meals"
2104,"berries,bottled water,candy,cream cheese ,domestic eggs,pastry,whole milk,yogurt"
2105,"bottled water,curd,rolls/buns,shopping bags,tropical fruit"
2106,"baking powder,bottled water,cream cheese ,frankfurter,fruit/vegetable juice,other vegetables,pastry,whole milk,yogurt"
2107,"bottled beer,bottled water,brown bread,butter,canned beer,coffee,frankfurter,margarine,newspapers,other vegetables,pip fruit,rolls/buns,salty snack,soda,sugar,whole milk"
2108,"beverages,mayonnaise,tropical fruit,whipped/sour cream,yogurt"
2109,"bottled beer,bottled water,male cosmetics,oil,salt,sausage,sugar,tropical fruit,whipped/sour cream,yogurt"
2110,"coffee,domestic eggs,frankfurter,frozen meals,newspapers,soda,tropical fruit,whole milk"
2111,"bottled beer,candles,cream cheese ,domestic eggs,other vegetables,red/blush wine,shopping bags,tropical fruit"
2112,"popcorn,sliced cheese,soda,whole milk"
2113,"UHT-milk,bottled water,hard cheese,margarine,pork,sausage,whole milk,yogurt"
2114,"bottled water,dessert,frankfurter,soups,whole milk"
2115,"berries,canned beer,cling film/bags,hamburger meat,rolls/buns,soda,whipped/sour cream"
2116,"canned beer,fruit/vegetable juice,other vegetables,yogurt"
2117,"beef,bottled water,brown bread,citrus fruit,frankfurter,frozen meals,frozen vegetables,long life bakery product,pasta,pastry,salt,specialty cheese,whipped/sour cream"
2118,"butter milk,coffee,fish,frozen vegetables,pot plants"
2119,"cat food,herbs,meat,onions,other vegetables,packaged fruit/vegetables,soda,whipped/sour cream"
2120,"beef,bottled beer,butter,napkins,pip fruit,pork,potato products,red/blush wine,root vegetables,soda,whole milk,yogurt"
2121,"bottled water,chocolate,flower (seeds),soda"
2122,"berries,domestic eggs,frozen dessert,hamburger meat,oil,pastry,pet care,rolls/buns,soda,tropical fruit"
2123,"cream cheese ,long life bakery product,pastry"
2125,"chewing gum,frozen meals,oil,soda,whipped/sour cream,yogurt"
2126,"brandy,other vegetables"
2127,"bottled beer,citrus fruit,fruit/vegetable juice,ice cream,margarine,pastry,pickled vegetables,pip fruit,pork,specialty cheese,whole milk"
2128,"brown bread,chicken,chocolate marshmallow,citrus fruit,frozen meals,ham,rolls/buns,sausage,soda,whole milk"
2129,"berries,bottled beer,bottled water,candy,coffee,condensed milk,fruit/vegetable juice,oil,other vegetables,pip fruit,pork,sausage,tropical fruit,whole milk,yogurt"
2131,"beef,bottled water,citrus fruit,grapes,other vegetables,rolls/buns,sausage,soda,sparkling wine,yogurt"
2132,"candy,chicken,chocolate,newspapers,pastry,rolls/buns,root vegetables,sugar,waffles,whipped/sour cream,whole milk"
2133,"bottled water,brown bread,cat food,curd,fruit/vegetable juice,other vegetables,pork,processed cheese,sausage,shopping bags,soda,tropical fruit,whole milk"
2134,"beef,bottled water,frozen vegetables,liquor (appetizer),pastry,soda,whole milk"
2135,"beef,butter,cream cheese ,hard cheese,instant coffee,newspapers,salty snack,whole milk"
2136,"bottled beer,whole milk"
2137,"UHT-milk,canned vegetables,hard cheese,napkins"
2138,"bottled water,brown bread,canned beer,chocolate,curd,long life bakery product,pip fruit,rolls/buns,root vegetables,seasonal products,shopping bags,soda,whisky,white bread,white wine,whole milk,yogurt"
2139,"butter milk,chewing gum,citrus fruit,frankfurter,frozen vegetables,instant coffee,margarine,other vegetables,soda,yogurt"
2140,"bottled beer,onions,other vegetables,root vegetables,sausage,whole milk"
2141,"butter,citrus fruit,potato products,rolls/buns,sugar,whole milk,yogurt"
2142,"Instant food products,UHT-milk,bottled water,chocolate,curd,frozen vegetables,hard cheese,liver loaf,mayonnaise,pip fruit,pork,rolls/buns,root vegetables,seasonal products,specialty bar,tropical fruit,waffles,yogurt"
2143,"canned beer,frozen vegetables,onions,pet care,soda,tropical fruit,yogurt"
2144,"beef,curd,onions,other vegetables,pasta,pork,specialty bar,sweet spreads,yogurt"
2145,"chewing gum,coffee,onions,soda,whole milk"
2146,"berries,bottled water,newspapers,organic products,sausage,whole milk"
2147,"brown bread,canned vegetables,chocolate,popcorn,salty snack,soda,tropical fruit,waffles"
2148,"canned beer,citrus fruit,cream cheese ,domestic eggs,hard cheese,newspapers,soda,tropical fruit,whole milk"
2149,"bathroom cleaner,butter milk,hamburger meat,long life bakery product,other vegetables,salty snack,softener,sugar,whole milk"
2151,"beef,berries,margarine,napkins,other vegetables,pip fruit,pork,rolls/buns,shopping bags,soda,tropical fruit"
2152,"bottled water,butter,chicken,flour,fruit/vegetable juice,other vegetables,soda,waffles,whipped/sour cream,whisky,whole milk"
2153,"chewing gum,domestic eggs,shopping bags,soda"
2154,"bottled beer,chocolate,cream cheese ,hygiene articles,onions,pastry,soda,whole milk,yogurt"
2155,"candles,condensed milk,frozen vegetables,pip fruit,salad dressing,salty snack,soda,whole milk"
2156,"bottled water,chocolate,domestic eggs,newspapers,pip fruit,rolls/buns,sausage,soda,whole milk"
2157,"beef,beverages,candy,canned beer,chocolate marshmallow,dishes,fish,grapes,meat,newspapers"
2158,"brown bread,fruit/vegetable juice,ham,misc. beverages,newspapers,pickled vegetables,pot plants,rolls/buns,sliced cheese,whole milk"
2159,"female sanitary products,ham,pot plants,rolls/buns,shopping bags,sugar,tropical fruit,white bread"
2160,"beverages,bottled beer,butter,butter milk,dishes,margarine,rolls/buns,shopping bags,specialty chocolate,white bread,whole milk"
2161,"margarine,root vegetables,shopping bags,soda"
2162,"cat food,cream cheese ,curd,dog food,pot plants,soft cheese,tropical fruit,whipped/sour cream,whole milk"
2164,"UHT-milk,bottled beer,bottled water,brown bread,butter milk,coffee,cream cheese ,curd,curd cheese,fruit/vegetable juice,ice cream,misc. beverages,other vegetables,pasta,pip fruit,pork,rolls/buns,semi-finished bread,spices,sugar,tropical fruit,whole milk"
2165,"bottled beer,chicken,citrus fruit,coffee,oil,other vegetables,pastry,root vegetables,soda,yogurt"
2166,"bottled water,brown bread,canned fish,cream cheese ,other vegetables,red/blush wine,rolls/buns,root vegetables,sauces,sausage,soda,tropical fruit,waffles,whipped/sour cream"
2167,"citrus fruit,liquor,mayonnaise,newspapers,pork,soda,specialty chocolate,tropical fruit,whole milk"
2168,"bottled beer,butter,domestic eggs,fruit/vegetable juice,grapes,rolls/buns,waffles"
2169,"bottled beer,citrus fruit,detergent,long life bakery product,meat,pickled vegetables,rum,salty snack,tropical fruit,whole milk"
2170,"bottled beer,canned beer,citrus fruit,fish,frozen potato products,fruit/vegetable juice,ham,root vegetables,sauces,sugar"
2171,"beef,bottled beer,butter,citrus fruit,curd,frankfurter,hamburger meat,ice cream,long life bakery product,margarine,meat,pip fruit,roll products ,rolls/buns,sausage,soft cheese,whole milk"
2172,"berries,citrus fruit,specialty chocolate,sugar,yogurt"
2173,"chicken,long life bakery product,other vegetables,pastry"
2174,"bottled water,brown bread,cereals,domestic eggs,frozen vegetables,other vegetables,rolls/buns"
2175,"butter,chicken,frozen fish,male cosmetics,other vegetables,pastry,rolls/buns,shopping bags,sliced cheese,soda,soft cheese,turkey,whipped/sour cream"
2176,"bottled water,brown bread,butter,frankfurter,frozen meals,hard cheese,long life bakery product,onions,pastry,pip fruit,rolls/buns,whipped/sour cream,whole milk"
2177,"coffee,domestic eggs,female sanitary products,salty snack,soups,yogurt"
2178,"beef,chicken,female sanitary products,frankfurter,male cosmetics,root vegetables,salt,salty snack,sausage"
2179,"coffee,cream cheese ,dessert,whole milk"
2180,"butter,other vegetables,waffles"
2181,"UHT-milk,bottled water,frankfurter,male cosmetics,pastry,roll products ,soda"
2183,"domestic eggs,frankfurter,frozen dessert,other vegetables,vinegar,whipped/sour cream,yogurt"
2184,"beef,beverages,bottled beer,butter,curd,frankfurter,ham,margarine,misc. beverages,oil,onions,other vegetables,popcorn,pork,rolls/buns,shopping bags,soda,whole milk,yogurt"
2185,"canned beer,chicken,citrus fruit,cream cheese ,flour,ham,napkins,other vegetables,rolls/buns"
2186,"bottled water,brown bread,canned beer,citrus fruit,domestic eggs,frankfurter,other vegetables,sausage,soda,sugar,tropical fruit,whipped/sour cream,whole milk,zwieback"
2187,"beverages,domestic eggs,newspapers,specialty bar,sugar,whole milk"
2188,"bottled beer,dessert,dishes,fruit/vegetable juice,hamburger meat,pip fruit,rolls/buns,salty snack,whole milk"
2190,"bottled water,citrus fruit,napkins,rolls/buns,root vegetables,tropical fruit"
2191,"beef,butter milk,dessert,misc. beverages,pip fruit,red/blush wine,root vegetables,specialty cheese,whole milk,yogurt"
2192,"frankfurter,margarine,rolls/buns,seasonal products,soda"
2193,"beef,bottled beer,candy,chocolate,citrus fruit,cling film/bags,cream cheese ,dessert,hamburger meat,liquor (appetizer),onions,pastry,pip fruit,root vegetables,sliced cheese,soda,specialty bar,specialty chocolate,waffles,whole milk,yogurt"
2194,"UHT-milk,beef,canned beer,dessert,frozen vegetables,hygiene articles,napkins,other vegetables,pip fruit,red/blush wine,salty snack,shopping bags,soda,whole milk"
2195,"canned beer,canned fish,margarine,misc. beverages,other vegetables,shopping bags,sliced cheese,tropical fruit"
2196,"beef,bottled water,candy,curd,flour,house keeping products,meat,other vegetables,sliced cheese,soda,tropical fruit,whole milk,yogurt"
2197,"long life bakery product,onions"
2198,"chicken,cream"
2199,"citrus fruit,coffee,rolls/buns"
2200,"berries,chicken,citrus fruit,fruit/vegetable juice,grapes,onions,pork,soft cheese,sugar,white bread"
2201,"bottled water,butter milk,chocolate,citrus fruit,curd,domestic eggs,frozen meals,hygiene articles,ice cream,other vegetables,rolls/buns,sausage,specialty chocolate,whole milk"
2202,"coffee,curd,frankfurter,frozen meals,newspapers,pork,rolls/buns,root vegetables,sauces,tidbits,tropical fruit,turkey,white wine"
2203,"onions,prosecco"
2204,"bottled beer,brown bread,chicken,detergent,liquor (appetizer),long life bakery product,other vegetables,popcorn,pork,sliced cheese,soda"
2205,"citrus fruit,hamburger meat,pastry,rolls/buns,soda,tropical fruit,whipped/sour cream,whole milk"
2206,"canned beer,citrus fruit,frozen vegetables,ham,herbs,pudding powder,rolls/buns"
2207,"coffee,cream cheese ,dog food,frankfurter,onions,pastry,pip fruit,rolls/buns"
2208,"cake bar,coffee,curd,frankfurter,hamburger meat,pork,root vegetables,soda"
2209,"bottled beer,butter,cat food,napkins,onions,other vegetables,photo/film,rolls/buns,root vegetables,tidbits,tropical fruit,whole milk"
2210,"beef,curd,dishes,domestic eggs,frankfurter,fruit/vegetable juice,hamburger meat,napkins,pork,rice,rolls/buns,sausage,specialty bar,sweet spreads,whole milk"
2211,"butter,canned beer,dessert,flour,meat spreads,newspapers,other vegetables,packaged fruit/vegetables,pastry,processed cheese,whole milk"
2212,"bottled water,butter,butter milk,citrus fruit,curd,dessert,hamburger meat,newspapers,other vegetables,pastry,salt,soda"
2213,"white bread,yogurt"
2214,"butter milk,red/blush wine,root vegetables,soda"
2215,"bottled beer,citrus fruit,cream cheese ,curd,flower (seeds),frozen vegetables,hamburger meat,napkins,newspapers,rolls/buns,salty snack,white bread,whole milk"
2216,"other vegetables,tropical fruit"
2217,"candy,curd,domestic eggs,long life bakery product,soda,tropical fruit,whipped/sour cream"
2218,"brown bread,candy,canned beer,frozen dessert,herbs,pip fruit,pot plants,root vegetables,sausage,soda,whole milk"
2219,"beverages,margarine,other vegetables,root vegetables,whipped/sour cream"
2220,"bottled beer,pastry,sausage,soda,tropical fruit,yogurt"
2221,"beef,other vegetables,pork,shopping bags,soda,yogurt"
2222,"berries,butter,canned vegetables,chewing gum,cling film/bags,coffee,curd cheese,dental care,grapes,newspapers,other vegetables,pork,rolls/buns,sausage,seasonal products,sugar,whole milk,yogurt"
2225,"berries,bottled water,brown bread,hard cheese,pork,rolls/buns,waffles,whole milk,yogurt"
2226,"berries,bottled water,canned vegetables,curd,hamburger meat,other vegetables,pork,sausage,sliced cheese,whole milk,yogurt"
2227,"herbs,mustard,other vegetables,semi-finished bread,whole milk"
2228,"hygiene articles,shopping bags,sugar,yogurt"
2229,"chocolate,cream cheese ,flower soil/fertilizer,fruit/vegetable juice,long life bakery product,meat,misc. beverages,other vegetables,pastry,pet care,pip fruit,processed cheese,rolls/buns,root vegetables,sausage,shopping bags,soda,whipped/sour cream"
2230,"bottled water,chocolate,cooking chocolate,cream cheese ,flour,frankfurter,hard cheese,instant coffee,meat,other vegetables,processed cheese,roll products ,sausage,soda,tropical fruit"
2231,"berries,bottled beer,bottled water,butter,cake bar,citrus fruit,frankfurter,margarine,napkins,pastry,seasonal products,soda,tropical fruit,whipped/sour cream"
2232,"beef,bottled beer,bottled water,citrus fruit,dessert,domestic eggs,flour,other vegetables,root vegetables,soft cheese,specialty chocolate,whisky,whole milk"
2233,"bottled beer,chocolate,domestic eggs,frozen fish,other vegetables,pastry,tropical fruit,whole milk,yogurt"
2234,"beverages,canned beer,citrus fruit,frankfurter,liquor (appetizer),margarine,newspapers,pastry,pickled vegetables,pork,red/blush wine,root vegetables,sausage,sugar,waffles,whipped/sour cream,whole milk"
